English,Dena'ina
Fry Bread,Aladi
Lake,Ben
Hat,Chick’ish
Crab,Ch’nalin
Bald Eagle,Dalika’a
Mouse,Dlin’a
Moose,Dnigi
50 cents,Dzabas
Mommy,Ena
Stove,Gabin
Brown Bear,Ggagga
Moon,Ghełjay
Doll,Hnina
Honey,Hha
Friends,Ida’ina
Sunshine,Jabu
Rain,Kun
River,K’etnu
Gloves,Lugech’
Dog,Łik’a
Milk,Malagu
Salt,Nuti
10,Qelun
Willow,Q’eylu
Star,Sin
Summer,Shani
Wolf,Tiqundi
Dentalium Necklace,T’uyedi
Cooking Oil,Tlegh
Needle,Tl’unqin
Comb hairbrush,Tsiyigi
Rock,Ts’es
Sewing bag,Ułkesa
Back of Hand,Wanlay
Anchor,Yaghel
Briefcase,Zamga
Quill,k’eh
