English,Dena'inaq'
Fry Bread,A (Aladi)
Lake,B (Ben)
Hat,Ch (Chick'ish)
Crab,Ch' (Ch'nałin)
Bald Eagle,D (Dałika’a)
Mouse,Dl  (Dlin’a)
Moose,Dn (Dnigi)
50 cents,Dz (Dzabas)
Mommy,E (Ena)
Stove,G (Gabin)
Brown Bear,Gg (Ggagga)
Moon,Gh (Ghelijay)
Doll,H (Hnina)
Honey,Hh (Hha)
Friends,I (Ida’ina)
Sunshine,J (Jabu)
Rain,K (Kun)
River,K’ (K’etnu)
Gloves,L (Lugech)
Dog,Ł (Łik’a)
Milk,M (Malagu)
Salt,N (Nuti)
10,Q (Qelun)
Willow,Q’ (Q’eylu)
Star,S (Sin)
Summer,Sh (Shani)
Wolf,T (Tiqundi)
Dentalium Necklace,T’ (T’uyedi)
Cooking Oil,Tl (Tlegh)
Needle,Tl’ (Tl’unqin)
Comb hairbrush,Ts (Tsiyigi)
Rock,Ts’ (Ts’es)
Sewing bag,U (Ułkesa)
Back of Hand,W (Wanlay)
Anchor,Y (Yaghel)
Briefcase,Z (Zamga)
Quill,k’eh
